ECPAIR_IS_ACTIVE,ECPAIR_UNALIGNED_PAIRING_DATA_IS_ACTIVE,ECPAIR_UNALIGNED_PAIRING_DATA_INDEX,ECPAIR_UNALIGNED_PAIRING_DATA_INSTANCE_ID,ECPAIR_UNALIGNED_PAIRING_DATA_IS_FIRST_LINE_OF_INSTANCE,ECPAIR_UNALIGNED_PAIRING_DATA_IS_ACCUMULATOR_INIT,ECPAIR_UNALIGNED_PAIRING_DATA_IS_FIRST_LINE_OF_PREV_ACC,ECPAIR_UNALIGNED_PAIRING_DATA_IS_ACCUMULATOR_PREV,ECPAIR_UNALIGNED_PAIRING_DATA_IS_FIRST_LINE_OF_CURR_ACC,ECPAIR_UNALIGNED_PAIRING_DATA_IS_ACCUMULATOR_CURR,ECPAIR_UNALIGNED_PAIRING_DATA_IS_RESULT,ECPAIR_UNALIGNED_PAIRING_DATA_IS_COMPUTED,ECPAIR_UNALIGNED_PAIRING_DATA_IS_PULLING,ECPAIR_UNALIGNED_PAIRING_DATA_PAIR_ID,ECPAIR_UNALIGNED_PAIRING_DATA_TOTAL_PAIRS,ECPAIR_UNALIGNED_PAIRING_DATA_LIMB_0,ECPAIR_UNALIGNED_PAIRING_DATA_LIMB_1,ECPAIR_UNALIGNED_PAIRING_DATA_LIMB_2,ECPAIR_UNALIGNED_PAIRING_DATA_LIMB_3,ECPAIR_UNALIGNED_PAIRING_DATA_LIMB_4,ECPAIR_UNALIGNED_PAIRING_DATA_LIMB_5,ECPAIR_UNALIGNED_PAIRING_DATA_LIMB_6,ECPAIR_UNALIGNED_PAIRING_DATA_LIMB_7,ECPAIR_UNALIGNED_PAIRING_DATA_TO_MILLER_LOOP_CIRCUIT,ECPAIR_UNALIGNED_PAIRING_DATA_TO_FINAL_EXP_CIRCUIT
0x1,0x1,0x0,0x3f,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x3,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x1,0x0
0x1,0x1,0x1,0x3f,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x3,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0001,0x1,0x0
0x1,0x1,0x2,0x3f,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x3,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x1,0x0
0x1,0x1,0x3,0x3f,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x3,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x1,0x0
0x1,0x1,0x4,0x3f,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x3,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x1,0x0
0x1,0x1,0x5,0x3f,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x3,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x1,0x0
0x1,0x1,0x6,0x3f,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x3,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x1,0x0
0x1,0x1,0x7,0x3f,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x3,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x1,0x0
0x1,0x1,0x8,0x3f,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x3,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x1,0x0
0x1,0x1,0x9,0x3f,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x1,0x3,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x1,0x0
